Hz,CpED4,DED4,CpDE4,DDE4,CpED2,DED2,CpDE2,DDE2,CpSED,DSED,CpSDE,DSDE,CpFMF,DFMF,CpFMS,DFMS,CpFMRF,DFMRF,CpFMRS,DFMRS,CpSMF,DSMF,CpSMS,DSMS,CpTMF,DTMF,CpTMS,DTMS,CpTMRF,DTMRF,CpTMRS,DTMRS
50,-2.01E-06,4.89E+00,-4.15E-03,5.50E-02,-2.83E-06,1.23E+01,7.31E-08,4.36E+01,-2.04E-09,1.54E+01,1.15E-06,9.18E+01,1.88E-09,3.39E+03,7.12E-06,3.35E+00,-1.86E-10,1.05E+00,2.93E-11,5.53E+00,1.91E-10,1.75E-01,3.38E-09,7.64E-01,-1.35E-10,1.96E+00,6.93E-10,1.29E+00,-1.92E-10,4.87E-02,-1.89E-10,6.80E-02
60,-4.60E-11,1.80E+05,-1.49E-06,6.14E+01,-3.02E-07,9.60E+01,2.67E-08,9.91E+01,3.55E-10,2.39E+01,-4.74E-07,1.86E+02,-2.48E-08,2.59E+02,3.43E-06,8.55E+00,2.55E-10,4.98E-01,-6.13E-10,2.49E-01,4.01E-10,1.65E-01,-3.18E-08,1.60E+00,3.77E-10,1.04E-01,-2.13E-10,1.08E-01,2.13E-10,5.63E-01,-4.02E-09,6.88E-01
60,-6.64E-07,3.58E+01,1.16E-07,7.63E+02,-3.33E-07,8.71E+01,-5.82E-09,4.54E+02,2.96E-08,7.59E-01,-4.97E-07,1.77E+02,-4.89E-09,1.32E+03,-9.20E-07,2.92E+01,-9.65E-09,3.61E-01,-3.61E-10,1.56E+00,-2.59E-08,8.13E-02,5.76E-08,9.13E-02,8.52E-10,2.33E-01,-3.58E-10,5.52E-01,-1.13E-08,4.81E-01,-1.11E-09,4.53E-01
60,-2.07E-07,1.26E+02,-5.61E-07,1.57E+02,-2.86E-07,1.01E+02,1.30E-08,2.04E+02,4.03E-10,1.97E+02,-4.92E-07,1.80E+02,7.06E-09,9.09E+02,-2.57E-06,9.40E+00,-1.17E-08,3.32E+00,9.69E-10,2.94E-01,-2.27E-08,1.67E+00,7.25E-09,3.96E-02,-1.00E-08,3.00E-01,2.77E-10,1.99E-01,-4.12E-08,1.45E-01,-4.16E-10,5.64E-01
60,-8.84E-07,2.91E+01,-4.71E-07,1.91E+02,-4.01E-07,7.26E+01,3.47E-08,7.63E+01,1.49E-09,5.22E+01,-1.52E-07,5.82E+02,-3.22E-08,1.98E+02,-8.43E-07,2.87E+01,1.07E-09,1.58E-01,-4.23E-10,3.95E-01,-1.16E-09,9.35E-01,1.71E-08,1.98E+00,-7.60E-09,4.13E+00,-3.47E-10,2.41E-01,-4.59E-08,7.90E-01,1.44E-09,1.84E+00
75,3.84E-07,5.47E+01,-1.36E-07,5.23E+02,-1.65E-05,1.39E+00,-2.96E-08,7.16E+01,4.08E-11,5.19E+02,1.55E-05,4.52E+00,-4.85E-08,1.32E+02,1.09E-06,1.79E+01,4.08E-10,1.03E+00,6.85E-10,2.41E-01,2.16E-10,1.47E+00,-2.42E-10,7.42E-02,1.58E-09,5.20E-01,-8.96E-10,1.06E+00,1.03E-09,5.67E-01,4.26E-08,2.14E-01
75,4.87E-06,3.48E+00,1.87E-08,1.13E+02,-1.70E-05,1.35E+00,-4.00E-08,5.29E+01,1.06E-09,1.99E+01,1.61E-05,4.34E+00,-2.42E-07,1.96E+01,1.97E-06,1.04E+01,4.27E-10,7.06E-01,3.93E-10,7.17E-01,-3.63E-10,1.28E-01,-1.72E-08,3.34E-01,-1.27E-09,1.50E+00,2.02E-10,3.87E+00,-6.88E-10,8.41E-02,4.23E-09,1.74E-01
75,5.32E-06,4.05E+00,-1.04E-08,2.04E+02,-1.69E-05,1.36E+00,-3.53E-08,5.97E+01,1.44E-08,1.41E+00,1.53E-05,4.56E+00,5.82E-09,8.20E+02,6.34E-06,3.21E+00,9.59E-09,2.14E+00,7.57E-09,1.07E+00,5.68E-10,5.55E-01,-4.43E-09,2.49E+00,2.37E-10,1.42E+00,-7.19E-10,2.01E-01,3.45E-10,1.18E+00,4.46E-10,5.27E-01
75,7.43E-06,3.43E+00,-4.60E-09,4.58E+02,-1.69E-05,1.36E+00,-4.46E-08,4.75E+01,3.47E-10,6.11E+01,-1.38E-07,5.14E+02,-1.24E-06,3.70E+00,-1.30E-06,1.79E+01,5.78E-10,4.36E+00,1.59E-08,2.08E+00,7.47E-09,5.99E-01,-1.79E-08,7.07E-01,2.57E-10,1.48E+00,4.12E-10,7.07E-01,3.57E-10,8.66E-01,-4.80E-10,9.64E-01
75,1.03E-06,2.19E+02,2.68E-04,7.87E-03,-1.65E-05,1.39E+00,-1.81E-08,1.17E+02,1.55E-08,1.30E+00,1.60E-05,4.37E+00,-1.20E-06,3.75E+00,-5.68E-07,3.52E+01,9.21E-10,5.29E-01,1.34E-08,6.70E-01,1.23E-09,7.58E-01,-2.57E-08,5.46E-01,-1.18E-09,1.07E-01,-3.24E-10,1.23E-01,-2.21E-09,4.37E-02,1.10E-08,3.18E+00
